name,url,candidates,total,exhausted,miss,uncertain,percents
U.S. Congress District 40,http://vote.sos.ca.gov/returns/us-congress/district/40/,2,100.0,0,100,0,66.0,34.0
U.S. Congress District 41,http://vote.sos.ca.gov/returns/us-congress/district/41/,5,100.0,9.8,27.8,0,45.0,36.5,8.7,8.2,1.6
U.S. Congress District 42,http://vote.sos.ca.gov/returns/us-congress/district/42/,6,100.0,23.3,3.6,1,51.5,14.4,10.8,9.1,8.1,6.1
U.S. Congress District 43,http://vote.sos.ca.gov/returns/us-congress/district/43/,2,100.0,0,100,0,64.7,35.3
U.S. Congress District 44,http://vote.sos.ca.gov/returns/us-congress/district/44/,2,100.0,0,100,0,60.3,39.7
U.S. Congress District 45,http://vote.sos.ca.gov/returns/us-congress/district/45/,3,100.1,0,17.1,0,51.2,33.0,15.9
U.S. Congress District 46,http://vote.sos.ca.gov/returns/us-congress/district/46/,5,100.0,7.6,19.3,0,51.7,30.0,10.7,3.9,3.7
U.S. Congress District 47,http://vote.sos.ca.gov/returns/us-congress/district/47/,8,100.1,26.1,18.7,1,33.3,29.7,11.0,9.8,7.4,3.2,2.9,2.8
U.S. Congress District 48,http://vote.sos.ca.gov/returns/us-congress/district/48/,3,100.0,0,24.1,0,66.3,28.9,4.8
U.S. Congress District 49,http://vote.sos.ca.gov/returns/us-congress/district/49/,4,100.0,1.4,23.8,0,61.2,30.6,6.8,1.4
U.S. Congress District 50,http://vote.sos.ca.gov/returns/us-congress/district/50/,5,100.0,8.2,9.3,0,67.5,16.8,7.5,5.4,2.8
U.S. Congress District 51,http://vote.sos.ca.gov/returns/us-congress/district/51/,7,100.0,18.2,4.9,1,46.1,20.3,15.4,6.7,5.1,3.9,2.5
U.S. Congress District 52,http://vote.sos.ca.gov/returns/us-congress/district/52/,10,99.9,13.9,0.6,1,41.2,22.7,22.1,4.0,3.6,2.9,1.5,0.7,0.7,0.5
U.S. Congress District 53,http://vote.sos.ca.gov/returns/us-congress/district/53/,2,100.0,0,100,0,57.6,42.4
State Assembly District 1,http://vote.sos.ca.gov/returns/state-assembly/district/1/,5,100.1,11.3,1.5,1,34.5,27.9,26.4,5.9,5.4
State Assembly District 2,http://vote.sos.ca.gov/returns/state-assembly/district/2/,4,100.0,4.3,14.6,0,63.9,23.2,8.6,4.3
State Assembly District 3,http://vote.sos.ca.gov/returns/state-assembly/district/3/,3,100.0,0,6.4,0,41.6,32.4,26.0
State Assembly District 4,http://vote.sos.ca.gov/returns/state-assembly/district/4/,2,100.0,0,100,0,59.6,40.4
State Assembly District 5,http://vote.sos.ca.gov/returns/state-assembly/district/5/,6,100.1,19.6,10.7,1,33.6,28.8,18.1,13.4,4.1,2.1
State Assembly District 6,http://vote.sos.ca.gov/returns/state-assembly/district/6/,3,100.0,0,0.4,0,36.8,31.8,31.4
State Assembly District 7,http://vote.sos.ca.gov/returns/state-assembly/district/7/,2,100.0,0,100,0,67.7,32.3
State Assembly District 8,http://vote.sos.ca.gov/returns/state-assembly/district/8/,6,100.1,13.9,2.3,1,42.7,22.9,20.6,6.4,4.4,3.1
State Assembly District 9,http://vote.sos.ca.gov/returns/state-assembly/district/9/,6,100.0,26.5,3.9,1,38.2,19.6,15.7,12.9,10.6,3.0
State Assembly District 10,http://vote.sos.ca.gov/returns/state-assembly/district/10/,7,100.0,23.9,2.9,1,30.2,24.4,21.5,11.1,6.3,4.3,2.2
State Assembly District 11,http://vote.sos.ca.gov/returns/state-assembly/district/11/,6,100.0,22.4,10.7,1,31.7,28.3,17.6,15.0,5.7,1.7
State Assembly District 12,http://vote.sos.ca.gov/returns/state-assembly/district/12/,2,100.0,0,100,0,64.6,35.4
State Assembly District 13,http://vote.sos.ca.gov/returns/state-assembly/district/13/,5,99.9,23.8,6.6,1,39.7,21.5,14.9,13.1,10.7
State Assembly District 14,http://vote.sos.ca.gov/returns/state-assembly/district/14/,1,100.0,0,100,0,100.0
State Assembly District 15,http://vote.sos.ca.gov/returns/state-assembly/district/15/,1,100.0,0,100,0,100.0
State Assembly District 16,http://vote.sos.ca.gov/returns/state-assembly/district/16/,2,100.0,0,100,0,56.7,43.3
State Assembly District 17,http://vote.sos.ca.gov/returns/state-assembly/district/17/,2,100.0,0,100,0,83.6,16.4
State Assembly District 18,http://vote.sos.ca.gov/returns/state-assembly/district/18/,4,100.0,14.6,10.9,1,36.9,29.7,18.8,14.6
State Assembly District 19,http://vote.sos.ca.gov/returns/state-assembly/district/19/,4,100.0,4.2,4.9,0,55.7,22.5,17.6,4.2
State Assembly District 20,http://vote.sos.ca.gov/returns/state-assembly/district/20/,5,100.0,23.7,5.4,1,30.3,25.7,20.3,17.7,6.0
State Assembly District 21,http://vote.sos.ca.gov/returns/state-assembly/district/21/,5,99.9,12.4,23.1,0,44.8,32.9,9.8,9.1,3.3
State Assembly District 22,http://vote.sos.ca.gov/returns/state-assembly/district/22/,2,100.0,0,100,0,68.8,31.2
State Assembly District 23,http://vote.sos.ca.gov/returns/state-assembly/district/23/,5,100.0,12.4,2.1,1,39.3,25.2,23.1,6.8,5.6
State Assembly District 24,http://vote.sos.ca.gov/returns/state-assembly/district/24/,4,100.0,4.2,18.1,0,56.9,28.5,10.4,4.2
State Assembly District 25,http://vote.sos.ca.gov/returns/state-assembly/district/25/,3,99.9,0,3.0,0,42.3,30.3,27.3
State Assembly District 26,http://vote.sos.ca.gov/returns/state-assembly/district/26/,2,100.0,0,100,0,71.9,28.1
State Assembly District 27,http://vote.sos.ca.gov/returns/state-assembly/district/27/,2,100.0,0,100,0,70.5,29.5
State Assembly District 28,http://vote.sos.ca.gov/returns/state-assembly/district/28/,2,100.0,0,100,0,54.4,45.6
State Assembly District 29,http://vote.sos.ca.gov/returns/state-assembly/district/29/,3,100.0,0,19.5,0,53.5,33.0,13.5
State Assembly District 30,http://vote.sos.ca.gov/returns/state-assembly/district/30/,2,100.0,0,100,0,58.2,41.8
State Assembly District 31,http://vote.sos.ca.gov/returns/state-assembly/district/31/,1,100.0,0,100,0,100.0
State Assembly District 32,http://vote.sos.ca.gov/returns/state-assembly/district/32/,4,99.9,14.1,3.0,1,40.8,24.0,21.0,14.1
State Assembly District 33,http://vote.sos.ca.gov/returns/state-assembly/district/33/,3,100.0,0,9.4,0,52.0,28.7,19.3
State Assembly District 34,http://vote.sos.ca.gov/returns/state-assembly/district/34/,2,100.0,0,100,0,73.8,26.2
State Assembly District 35,http://vote.sos.ca.gov/returns/state-assembly/district/35/,2,100.0,0,100,0,65.0,35.0
State Assembly District 36,http://vote.sos.ca.gov/returns/state-assembly/district/36/,3,100.0,0,0.5,0,35.1,32.7,32.2
State Assembly District 37,http://vote.sos.ca.gov/returns/state-assembly/district/37/,2,100.0,0,100,0,56.1,43.9
State Assembly District 38,http://vote.sos.ca.gov/returns/state-assembly/district/38/,4,100.0,14.7,9.1,1,31.6,31.4,22.3,14.7
State Assembly District 39,http://vote.sos.ca.gov/returns/state-assembly/district/39/,6,100.0,21.0,11.1,1,36.3,26.9,15.8,8.1,7.6,5.3
State Assembly District 40,http://vote.sos.ca.gov/returns/state-assembly/district/40/,2,100.0,0,100,0,58.3,41.7
State Assembly District 41,http://vote.sos.ca.gov/returns/state-assembly/district/41/,5,100.1,29.3,5.7,1,29.1,23.7,18.0,15.5,13.8
State Assembly District 42,http://vote.sos.ca.gov/returns/state-assembly/district/42/,2,100.0,0,100,0,61.2,38.8
State Assembly District 43,http://vote.sos.ca.gov/returns/state-assembly/district/43/,2,100.0,0,100,0,56.0,44.0
State Assembly District 44,http://vote.sos.ca.gov/returns/state-assembly/district/44/,3,100.0,0,4.8,0,58.0,23.4,18.6
State Assembly District 45,http://vote.sos.ca.gov/returns/state-assembly/district/45/,2,100.0,0,100,0,59.1,40.9
State Assembly District 46,http://vote.sos.ca.gov/returns/state-assembly/district/46/,6,100.0,32.4,0.0,1,27.2,20.2,20.2,19.4,10.6,2.4
State Assembly District 47,http://vote.sos.ca.gov/returns/state-assembly/district/47/,4,100.0,6.5,6.5,0,42.2,28.9,22.4,6.5
State Assembly District 48,http://vote.sos.ca.gov/returns/state-assembly/district/48/,3,100.0,0,32.2,0,45.8,43.2,11.0
State Assembly District 49,http://vote.sos.ca.gov/returns/state-assembly/district/49/,3,100.0,0,22.1,0,51.9,35.1,13.0
State Assembly District 50,http://vote.sos.ca.gov/returns/state-assembly/district/50/,4,100.0,24.2,1.3,1,25.9,25.6,24.3,24.2
State Assembly District 51,http://vote.sos.ca.gov/returns/state-assembly/district/51/,5,99.9,14.7,1.4,1,37.4,24.6,23.2,10.9,3.8
State Assembly District 52,http://vote.sos.ca.gov/returns/state-assembly/district/52/,4,99.9,7.5,24.5,0,41.5,37.7,13.2,7.5
State Assembly District 53,http://vote.sos.ca.gov/returns/state-assembly/district/53/,4,100.0,10.0,2.5,1,59.3,16.6,14.1,10.0
State Assembly District 54,http://vote.sos.ca.gov/returns/state-assembly/district/54/,3,100.0,0,5.7,0,70.9,17.4,11.7
State Assembly District 55,http://vote.sos.ca.gov/returns/state-assembly/district/55/,2,100.0,0,100,0,69.4,30.6
State Assembly District 56,http://vote.sos.ca.gov/returns/state-assembly/district/56/,2,100.0,0,100,0,56.1,43.9
State Assembly District 57,http://vote.sos.ca.gov/returns/state-assembly/district/57/,3,100.0,0,0.8,0,43.6,28.6,27.8
State Assembly District 58,http://vote.sos.ca.gov/returns/state-assembly/district/58/,6,100.0,22.6,3.4,1,28.0,26.4,23.0,12.3,6.5,3.8
State Assembly District 59,http://vote.sos.ca.gov/returns/state-assembly/district/59/,5,100.1,20.2,1.2,1,44.1,18.5,17.3,15.3,4.9
State Assembly District 60,http://vote.sos.ca.gov/returns/state-assembly/district/60/,4,100.1,19.2,8.2,1,32.1,28.5,20.3,19.2
State Assembly District 61,http://vote.sos.ca.gov/returns/state-assembly/district/61/,4,100.0,4.4,19.2,0,44.2,35.3,16.1,4.4
State Assembly District 62,http://vote.sos.ca.gov/returns/state-assembly/district/62/,2,100.0,0,100,0,75.3,24.7
State Assembly District 63,http://vote.sos.ca.gov/returns/state-assembly/district/63/,4,100.1,6.4,5.5,1,37.6,30.8,25.3,6.4
State Assembly District 64,http://vote.sos.ca.gov/returns/state-assembly/district/64/,1,100.0,0,100,0,100.0
State Assembly District 65,http://vote.sos.ca.gov/returns/state-assembly/district/65/,2,100.0,0,100,0,58.9,41.1
State Assembly District 66,http://vote.sos.ca.gov/returns/state-assembly/district/66/,3,100.0,0,18.0,0,40.8,38.6,20.6
State Assembly District 67,http://vote.sos.ca.gov/returns/state-assembly/district/67/,5,100.1,28.8,3.3,1,28.2,23.2,19.9,18.9,9.9
State Assembly District 68,http://vote.sos.ca.gov/returns/state-assembly/district/68/,2,100.0,0,100,0,69.3,30.7
State Assembly District 69,http://vote.sos.ca.gov/returns/state-assembly/district/69/,5,99.9,18.6,2.0,1,39.9,21.7,19.7,16.5,2.1
State Assembly District 70,http://vote.sos.ca.gov/returns/state-assembly/district/70/,2,100.0,0,100,0,58.4,41.6
State Assembly District 71,http://vote.sos.ca.gov/returns/state-assembly/district/71/,3,100.0,0,7.2,0,47.0,30.1,22.9
State Assembly District 72,http://vote.sos.ca.gov/returns/state-assembly/district/72/,5,99.9,32.8,0.4,1,28.1,19.7,19.3,19.2,13.6
State Assembly District 73,http://vote.sos.ca.gov/returns/state-assembly/district/73/,2,100.0,0,100,0,70.2,29.8
State Assembly District 74,http://vote.sos.ca.gov/returns/state-assembly/district/74/,3,100.0,0,9.2,0,43.6,32.8,23.6
State Assembly District 75,http://vote.sos.ca.gov/returns/state-assembly/district/75/,2,100.0,0,100,0,68.7,31.3
State Assembly District 76,http://vote.sos.ca.gov/returns/state-assembly/district/76/,3,100.1,0,4.0,0,38.7,32.7,28.7
State Assembly District 77,http://vote.sos.ca.gov/returns/state-assembly/district/77/,4,100.0,13.3,9.3,1,47.6,24.2,14.9,13.3
State Assembly District 78,http://vote.sos.ca.gov/returns/state-assembly/district/78/,3,100.0,0,15.6,0,59.8,27.9,12.3
State Assembly District 79,http://vote.sos.ca.gov/returns/state-assembly/district/79/,6,99.8,26.8,16.0,1,30.4,29.3,13.3,11.2,8.0,7.6
State Assembly District 80,http://vote.sos.ca.gov/returns/state-assembly/district/80/,2,100.0,0,100,0,61.1,38.9
State Senate District 1,http://vote.sos.ca.gov/returns/state-senate/district/1/,4,100.1,5.1,15.3,0,48.9,30.7,15.4,5.1
State Senate District 3,http://vote.sos.ca.gov/returns/state-senate/district/3/,1,100.0,0,100,0,100.0
State Senate District 5,http://vote.sos.ca.gov/returns/state-senate/district/5/,3,100.0,0,15.4,0,41.0,37.2,21.8
State Senate District 7,http://vote.sos.ca.gov/returns/state-senate/district/7/,2,100.0,0,100,0,57.0,43.0
State Senate District 9,http://vote.sos.ca.gov/returns/state-senate/district/9/,1,100.0,0,100,0,100.0
State Senate District 11,http://vote.sos.ca.gov/returns/state-senate/district/11/,2,100.0,0,100,0,81.5,18.5
State Senate District 13,http://vote.sos.ca.gov/returns/state-senate/district/13/,4,100.1,11.0,7.1,1,51.0,22.6,15.5,11.0
State Senate District 15,http://vote.sos.ca.gov/returns/state-senate/district/15/,2,100.0,0,100,0,55.6,44.4
State Senate District 17,http://vote.sos.ca.gov/returns/state-senate/district/17/,2,100.0,0,100,0,58.2,41.8
State Senate District 19,http://vote.sos.ca.gov/returns/state-senate/district/19/,3,100.0,0,27.8,0,45.4,41.2,13.4
State Senate District 21,http://vote.sos.ca.gov/returns/state-senate/district/21/,2,100.0,0,100,0,68.9,31.1
State Senate District 23,http://vote.sos.ca.gov/returns/state-senate/district/23/,2,100.0,0,100,0,65.0,35.0
State Senate District 25,http://vote.sos.ca.gov/returns/state-senate/district/25/,3,100.0,0,37.8,0,51.4,43.2,5.4
State Senate District 27,http://vote.sos.ca.gov/returns/state-senate/district/27/,2,100.0,0,100,0,50.6,49.4
State Senate District 29,http://vote.sos.ca.gov/returns/state-senate/district/29/,2,100.0,0,100,0,64.5,35.5
State Senate District 31,http://vote.sos.ca.gov/returns/state-senate/district/31/,3,99.9,0,8.6,0,51.3,28.6,20.0
State Senate District 33,http://vote.sos.ca.gov/returns/state-senate/district/33/,1,100.0,0,100,0,100.0
State Senate District 35,http://vote.sos.ca.gov/returns/state-senate/district/35/,3,100.0,0,11.3,0,57.5,26.9,15.6
State Senate District 37,http://vote.sos.ca.gov/returns/state-senate/district/37/,2,100.0,0,100,0,63.6,36.4
State Senate District 39,http://vote.sos.ca.gov/returns/state-senate/district/39/,3,99.9,0,33.9,0,46.2,43.8,9.9
